회사명,EPS,PER,PSR,매출액
삼성전자,4850,14.2,1.8,302000
SK하이닉스,12300,8.7,2.1,66200
LG에너지솔루션,3200,45.6,3.2,33400
현대차,22100,5.3,0.4,162700
기아,18900,4.8,0.4,99800
POSCO홀딩스,31500,7.1,0.3,77200
삼성바이오로직스,5600,82.3,14.6,36800
셀트리온,1200,55.4,8.2,23100
카카오,890,78.9,4.1,71300
네이버,6700,22.1,3.6,97800
LG화학,14200,18.6,0.7,51200
SK이노베이션,5400,11.2,0.2,73400
롯데케미칼,2100,9.8,0.2,18900
한국전력,-3200,0.0,0.4,87300
두산에너빌리티,1800,32.1,1.2,17600
한화에어로스페이스,8900,28.4,1.8,24500
삼성SDI,9200,19.3,1.4,22800
LG전자,3400,13.7,0.3,84200
현대모비스,12600,7.4,0.4,58300
SK텔레콤,8100,9.6,0.9,17800
