회사명,주가,EPS,추정PER,PSR,매출액,EPS수익률(%)
삼성전자,360500,42923,7.37,1.8,302000,11.91
SK하이닉스,2360000,296971,6.79,2.1,66200,12.58
LG에너지솔루션,442500,-1073,203.15,3.2,33400,-0.24
현대차,729000,39653,17.54,0.4,162700,5.44
기아,168800,21310,7.57,0.4,99800,12.62
POSCO홀딩스,399000,23631,14.86,0.3,77200,5.92
삼성바이오로직스,1367000,42462,30.05,14.6,36800,3.11
셀트리온,187900,6547,26.43,8.2,23100,3.48
카카오,42550,1566,24.68,4.1,71300,3.68
네이버,280500,12505,20.49,3.6,97800,4.46
LG화학,355000,3361,26.41,0.7,51200,0.95
SK이노베이션,116300,11759,12.61,0.2,73400,10.11
롯데케미칼,77400,-5792,0,0.2,18900,-7.48
한국전력,37750,8903,3.63,0.4,87300,23.59
두산에너빌리티,100000,458,156.47,1.2,17600,0.46
한화에어로스페이스,1070000,41659,22.46,1.8,24500,3.89
삼성SDI,602000,5295,49.21,1.4,22800,0.88
LG전자,392500,10858,32.48,0.3,84200,2.77
현대모비스,759000,45655,15.64,0.4,58300,6.01
SK텔레콤,125200,5668,21.16,0.9,17800,4.53
